# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
1, 2122000, -1308715, 15000, 15000, 0, 0, 3400, 0
2, 0, 50000, 1000, 1000, 4, 0, 3400, 0
3, 0, 50000, 1000, 1000, 4, 0, 4000, 0
4, 0, 900000, 1000, 1000, 4, 0, 4800, 0
5, 0, 50000, 1000, 1000, 4, 0, 4000, 0
6, 0, 100000, 1000, 1000, 4, 0, 3400, 0
7, 0, -100000, 1000, 1000, 4, 0, 3400, 0
8, 0, -50000, 1000, 1000, 4, 0, 4000, 0
9, 0, -900000, 1000, 1000, 4, 0, 4800, 0
10, 0, -50000, 1000, 1000, 4, 0, 4000, 0
11, 0, -50000, 1000, 1000, 4, 0, 3400, 0
12, 0, 50000, 1000, 1000, 4, 0, 3400, 0
13, 0, 50000, 1000, 1000, 4, 0, 4000, 0
14, 0, 900000, 1000, 1000, 4, 0, 4800, 0
15, 0, 50000, 1000, 1000, 4, 0, 4000, 0
16, 0, 100000, 1000, 1000, 4, 0, 3400, 0
18, 0, -100000, 1000, 1000, 4, 0, 3400, 0
19, 0, -50000, 1000, 1000, 4, 0, 4000, 0
20, 0, -900000, 1000, 1000, 4, 0, 4800, 0
21, 0, -50000, 1000, 1000, 4, 0, 4000, 0
22, 0, -50000, 1000, 1000, 4, 0, 3400, 0
23, 0, 50000, 1000, 1000, 4, 0, 3400, 0
24, 0, 50000, 1000, 1000, 4, 0, 4000, 0
25, 0, 900000, 1000, 1000, 4, 0, 4800, 0
26, 0, 50000, 1000, 1000, 4, 0, 4000, 0
27, 0, 100000, 1000, 1000, 4, 0, 3400, 0
28, 0, -100000, 1000, 1000, 4, 0, 3400, 0
29, 0, -50000, 1000, 1000, 4, 0, 4000, 0
30, 0, -900000, 1000, 1000, 4, 0, 4800, 0
31, 0, -50000, 1000, 1000, 4, 0, 4000, 0
32, 0, -50000, 1000, 1000, 4, 0, 3400, 0
33, 0, 50000, 1000, 1000, 4, 0, 3400, 0
34, 0, 50000, 1000, 1000, 4, 0, 4000, 0
35, 0, 900000, 1000, 1000, 4, 0, 4800, 0
36, 0, 50000, 1000, 1000, 4, 0, 4000, 0
37, 0, 100000, 1000, 1000, 4, 0, 3400, 0
38, 0, -100000, 1000, 1000, 4, 0, 3400, 0
39, 0, -50000, 1000, 1000, 4, 0, 4000, 0
40, 0, -900000, 1000, 1000, 4, 0, 4800, 0
41, 0, -50000, 1000, 1000, 4, 0, 4000, 0
42, 0, -50000, 1000, 1000, 4, 0, 3400, 0
43, 0, 50000, 1000, 1000, 4, 0, 3400, 0
44, 0, 50000, 1000, 1000, 4, 0, 4000, 0
45, 0, 900000, 1000, 1000, 4, 0, 4800, 0
46, 0, 50000, 1000, 1000, 4, 0, 4000, 0
47, 0, 100000, 1000, 1000, 4, 0, 3400, 0
48, 0, -100000, 1000, 1000, 4, 0, 3400, 0
49, 0, -50000, 1000, 1000, 4, 0, 4000, 0
50, 0, -900000, 1000, 1000, 4, 0, 4800, 0
51, 0, -50000, 1000, 1000, 4, 0, 4000, 0
52, 0, -50000, 1000, 1000, 4, 0, 3400, 0
