# generated for laser system 2
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
1, 1055000, 279000, 15000, 15000, 0, 0, 3800, 0
2, -5400, 0, 8000, 8000, -2.5, 5, 3800, 0
3, -5400, 0, 8000, 8000, -2.5, 5, 3800, 0
4, -5400, 0, 8000, 8000, -2.5, 5, 3800, 0
5, -5400, 0, 8000, 8000, -2.5, 5, 3800, 0
6, -5400, 0, 8000, 8000, -2.5, 5, 3800, 0
7, -5400, 0, 8000, 8000, -2.5, 5, 3800, 0
8, -5400, 0, 8000, 8000, -2.5, 5, 3800, 0
9, -5400, 0, 8000, 8000, -2.5, 5, 3800, 0
10, -5400, 0, 8000, 8000, -2.5, 5, 3800, 0
11, -5400, 0, 8000, 8000, -2.5, 5, 3800, 0
12, -38000, 0, 15000, 8000, 0, 0, 3800, 0
13, -4400, 0, 8000, 8000, -2.5, 5, 3800, 0
14, -4400, 0, 8000, 8000, -2.5, 5, 3800, 0
15, -4400, 0, 8000, 8000, -2.5, 5, 3800, 0
16, -4400, 0, 8000, 8000, -2.5, 5, 3800, 0
17, -4400, 0, 8000, 8000, -2.5, 5, 3800, 0
18, -4400, 0, 8000, 8000, -2.5, 5, 3800, 0
19, -4400, 0, 8000, 8000, -2.5, 5, 3800, 0
20, -4400, 0, 8000, 8000, -2.5, 5, 3800, 0
21, -4400, 0, 8000, 8000, -2.5, 5, 3800, 0
22, -4400, 0, 8000, 8000, -2.5, 5, 3800, 0
23, -44000, 0, 15000, 8000, 0, 0, 3800, 0
24, -4300, 0, 8000, 8000, -2.5, 5, 3800, 0
25, -4300, 0, 8000, 8000, -2.5, 5, 3800, 0
26, -4300, 0, 8000, 8000, -2.5, 5, 3800, 0
27, -4300, 0, 8000, 8000, -2.5, 5, 3800, 0
28, -4300, 0, 8000, 8000, -2.5, 5, 3800, 0
29, -4300, 0, 8000, 8000, -2.5, 5, 3800, 0
30, -4300, 0, 8000, 8000, -2.5, 5, 3800, 0
31, -4300, 0, 8000, 8000, -2.5, 5, 3800, 0
32, -4300, 0, 8000, 8000, -2.5, 5, 3800, 0
33, -4300, 0, 8000, 8000, -2.5, 5, 3800, 0
34, -47000, 0, 15000, 8000, 0, 0, 3800, 0
35, -3600, 0, 8000, 8000, -2.5, 5, 3800, 0
36, -3600, 0, 8000, 8000, -2.5, 5, 3800, 0
37, -3600, 0, 8000, 8000, -2.5, 5, 3800, 0
38, -3600, 0, 8000, 8000, -2.5, 5, 3800, 0
39, -3600, 0, 8000, 8000, -2.5, 5, 3800, 0
40, -3600, 0, 8000, 8000, -2.5, 5, 3800, 0
41, -3600, 0, 8000, 8000, -2.5, 5, 3800, 0
42, -3600, 0, 8000, 8000, -2.5, 5, 3800, 0
43, -3600, 0, 8000, 8000, -2.5, 5, 3800, 0
44, -3600, 0, 8000, 8000, -2.5, 5, 3800, 0
45, -44000, 0, 15000, 8000, 0, 0, 3800, 0
46, -3300, 0, 8000, 8000, -2.5, 5, 3800, 0
47, -3300, 0, 8000, 8000, -2.5, 5, 3800, 0
48, -3300, 0, 8000, 8000, -2.5, 5, 3800, 0
49, -3300, 0, 8000, 8000, -2.5, 5, 3800, 0
50, -3300, 0, 8000, 8000, -2.5, 5, 3800, 0
