# generated for laser system 2
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
1, 1055000, 279000, 15000, 15000, 0, 0, 3800, 0
2, -585000, 0, 4000, 8000, 4, 0, 3800, 0
3, 0, 25000, 8000, 8000, 0, 0, 3800, 0
4, 585000, 0, 4000, 8000, 4, 0, 3600, 0
5, 0, 25000, 8000, 8000, 0, 0, 3600, 0
6, -585000, 0, 4000, 8000, 4, 0, 3600, 0
7, 0, 25000, 8000, 8000, 0, 0, 3600, 0
8, 585000, 0, 4000, 8000, 4, 0, 3600, 0
9, 0, 25000, 8000, 8000, 0, 0, 3600, 0
10, -585000, 0, 4000, 8000, 4, 0, 3600, 0
11, 0, 25000, 8000, 8000, 0, 0, 3600, 0
12, 585000, 0, 4000, 8000, 4, 0, 3600, 0
13, 0, 25000, 8000, 8000, 0, 0, 3600, 0
14, -585000, 0, 4000, 8000, 4, 0, 3600, 0
15, 0, 12500, 8000, 8000, 0, 0, 3600, 0
16, 585000, 0, 4000, 8000, 4, 0, 3600, 0
17, 0, 12500, 8000, 8000, 0, 0, 3600, 0
18, -585000, 0, 4000, 8000, 4, 0, 3600, 0
19, 0, 12500, 8000, 8000, 0, 0, 3600, 0
20, 585000, 0, 4000, 8000, 4, 0, 3600, 0
21, 0, 12500, 8000, 8000, 0, 0, 3600, 0
22, -585000, 0, 4000, 8000, 4, 0, 3600, 0
23, 0, 12500, 8000, 8000, 0, 0, 3600, 0
24, 585000, 0, 4000, 8000, 4, 0, 3600, 0
25, 0, 12500, 8000, 8000, 0, 0, 3600, 0
26, -585000, 0, 4000, 8000, 4, 0, 3600, 0
27, 0, 12500, 8000, 8000, 0, 0, 3600, 0
28, 585000, 0, 4000, 8000, 4, 0, 3600, 0
29, 0, 12500, 8000, 8000, 0, 0, 3600, 0
30, -585000, 0, 4000, 8000, 4, 0, 3500, 0
31, 0, 12500, 8000, 8000, 0, 0, 3500, 0
32, 585000, 0, 4000, 8000, 4, 0, 3500, 0
33, 0, 12500, 8000, 8000, 0, 0, 3500, 0
34, -585000, 0, 4000, 8000, 4, 0, 3500, 0
35, 0, 12500, 8000, 8000, 0, 0, 3500, 0
36, 585000, 0, 4000, 8000, 4, 0, 3500, 0
37, 0, 12500, 8000, 8000, 0, 0, 3500, 0
38, -585000, 0, 4000, 8000, 4, 0, 3500, 0
39, 0, 12500, 8000, 8000, 0, 0, 3500, 0
40, 585000, 0, 4000, 8000, 4, 0, 3500, 0
41, 0, 12500, 8000, 8000, 0, 0, 3500, 0
42, -585000, 0, 4000, 8000, 4, 0, 3500, 0
43, 0, 12500, 8000, 8000, 0, 0, 3500, 0
