# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
455, -40000, 0, 4000, 8000, 4. 0, 4800, 0
456, -46000, 0, 15000, 8000, 0, 0, 4800, 0
457, -27000, 0, 4000, 8000, 4. 0, 4800, 0
458, -52000, 0, 15000, 8000, 0, 0, 4800, 0
459, -52000, 0, 4000, 8000, 4. 0, 4800, 0
460, -39000, 0, 15000, 8000, 0, 0, 4800, 0
461, -40000, 0, 4000, 8000, 4. 0, 4800, 0
462, 354000, 0, 15000, 8000, 0, 0, 4800, 0
463, 0, 12500, 8000, 8000, 0, 0, 4800, 0
464, -25000, 0, 4000, 8000, 4. 0, 4800, 0
465, -33000, 0, 15000, 8000, 0, 0, 4800, 0
466, -40000, 0, 4000, 8000, 4. 0, 4800, 0
467, -46000, 0, 15000, 8000, 0, 0, 4800, 0
468, -27000, 0, 4000, 8000, 4. 0, 4800, 0
469, -52000, 0, 15000, 8000, 0, 0, 4800, 0
470, -52000, 0, 4000, 8000, 4. 0, 4800, 0
471, -39000, 0, 15000, 8000, 0, 0, 4800, 0
472, -40000, 0, 4000, 8000, 4. 0, 4800, 0
473, 354000, 0, 15000, 8000, 0, 0, 4800, 0
474, 0, 12500, 8000, 8000, 0, 0, 4800, 0
475, -25000, 0, 4000, 8000, 4. 0, 4800, 0
476, -33000, 0, 15000, 8000, 0, 0, 4800, 0
477, -40000, 0, 4000, 8000, 4. 0, 4800, 0
478, -46000, 0, 15000, 8000, 0, 0, 4800, 0
479, -27000, 0, 4000, 8000, 4. 0, 4800, 0
480, -52000, 0, 15000, 8000, 0, 0, 4800, 0
481, -52000, 0, 4000, 8000, 4. 0, 4800, 0
482, -39000, 0, 15000, 8000, 0, 0, 4800, 0
483, -40000, 0, 4000, 8000, 4. 0, 4800, 0
484, 354000, 0, 15000, 8000, 0, 0, 4800, 0
485, 0, 12500, 8000, 8000, 0, 0, 4800, 0
486, -25000, 0, 4000, 8000, 4. 0, 4800, 0
487, -33000, 0, 15000, 8000, 0, 0, 4800, 0
488, -40000, 0, 4000, 8000, 4. 0, 4800, 0
489, -46000, 0, 15000, 8000, 0, 0, 4800, 0
490, -27000, 0, 4000, 8000, 4. 0, 4800, 0
491, -52000, 0, 15000, 8000, 0, 0, 4800, 0
492, -52000, 0, 4000, 8000, 4. 0, 4800, 0
493, -39000, 0, 15000, 8000, 0, 0, 4800, 0
494, -40000, 0, 4000, 8000, 4. 0, 4800, 0
495, 354000, 0, 15000, 8000, 0, 0, 4800, 0
496, 0, 12500, 8000, 8000, 0, 0, 4800, 0
497, -25000, 0, 4000, 8000, 4. 0, 4800, 0
498, -33000, 0, 15000, 8000, 0, 0, 4800, 0
499, -40000, 0, 4000, 8000, 4. 0, 4800, 0
500, -46000, 0, 15000, 8000, 0, 0, 4800, 0
501, -27000, 0, 4000, 8000, 4. 0, 4800, 0
502, -52000, 0, 15000, 8000, 0, 0, 4800, 0
503, -52000, 0, 4000, 8000, 4. 0, 4800, 0
504, -39000, 0, 15000, 8000, 0, 0, 4800, 0
505, -40000, 0, 4000, 8000, 4. 0, 4800, 0
506, 354000, 0, 15000, 8000, 0, 0, 4800, 0
507, 0, 12500, 8000, 8000, 0, 0, 4800, 0
508, -25000, 0, 4000, 8000, 4. 0, 4800, 0
509, -33000, 0, 15000, 8000, 0, 0, 4800, 0
510, -40000, 0, 4000, 8000, 4. 0, 4800, 0
511, -46000, 0, 15000, 8000, 0, 0, 4800, 0
512, -27000, 0, 4000, 8000, 4. 0, 4800, 0
513, -52000, 0, 15000, 8000, 0, 0, 4800, 0
514, -52000, 0, 4000, 8000, 4. 0, 4800, 0
515, -39000, 0, 15000, 8000, 0, 0, 4800, 0
516, -40000, 0, 4000, 8000, 4. 0, 4800, 0
517, 354000, 0, 15000, 8000, 0, 0, 4800, 0
518, 0, 12500, 8000, 8000, 0, 0, 4800, 0
519, -25000, 0, 4000, 8000, 4. 0, 4800, 0
520, -33000, 0, 15000, 8000, 0, 0, 4800, 0
521, -40000, 0, 4000, 8000, 4. 0, 4800, 0
522, -46000, 0, 15000, 8000, 0, 0, 4800, 0
523, -27000, 0, 4000, 8000, 4. 0, 4800, 0
524, -52000, 0, 15000, 8000, 0, 0, 4800, 0
525, -52000, 0, 4000, 8000, 4. 0, 4800, 0
526, -39000, 0, 15000, 8000, 0, 0, 4800, 0
527, -40000, 0, 4000, 8000, 4. 0, 4800, 0
528, 354000, 0, 15000, 8000, 0, 0, 4800, 0
529, 0, 12500, 8000, 8000, 0, 0, 4800, 0
530, -25000, 0, 4000, 8000, 4. 0, 4800, 0
531, -33000, 0, 15000, 8000, 0, 0, 4800, 0
532, -40000, 0, 4000, 8000, 4. 0, 4800, 0
533, -46000, 0, 15000, 8000, 0, 0, 4800, 0
534, -27000, 0, 4000, 8000, 4. 0, 4800, 0
535, -52000, 0, 15000, 8000, 0, 0, 4800, 0
536, -52000, 0, 4000, 8000, 4. 0, 4800, 0
537, -39000, 0, 15000, 8000, 0, 0, 4800, 0
538, -40000, 0, 4000, 8000, 4. 0, 4800, 0
539, 354000, 0, 15000, 8000, 0, 0, 4800, 0
540, 0, 12500, 8000, 8000, 0, 0, 4800, 0
541, -25000, 0, 4000, 8000, 4. 0, 4800, 0
542, -33000, 0, 15000, 8000, 0, 0, 4800, 0
543, -40000, 0, 4000, 8000, 4. 0, 4800, 0
544, -46000, 0, 15000, 8000, 0, 0, 4800, 0
545, -27000, 0, 4000, 8000, 4. 0, 4800, 0
546, -52000, 0, 15000, 8000, 0, 0, 4800, 0
547, -52000, 0, 4000, 8000, 4. 0, 4800, 0
548, -39000, 0, 15000, 8000, 0, 0, 4800, 0
549, -40000, 0, 4000, 8000, 4. 0, 4800, 0
550, 354000, 0, 15000, 8000, 0, 0, 4800, 0
551, 0, 12500, 8000, 8000, 0, 0, 4800, 0
552, -25000, 0, 4000, 8000, 4. 0, 4800, 0
553, -33000, 0, 15000, 8000, 0, 0, 4800, 0
554, -40000, 0, 4000, 8000, 4. 0, 4800, 0
555, -46000, 0, 15000, 8000, 0, 0, 4800, 0
556, -27000, 0, 4000, 8000, 4. 0, 4800, 0
557, -52000, 0, 15000, 8000, 0, 0, 4800, 0
558, -52000, 0, 4000, 8000, 4. 0, 4800, 0
559, -39000, 0, 15000, 8000, 0, 0, 4800, 0
560, -40000, 0, 4000, 8000, 4. 0, 4800, 0
561, 354000, 0, 15000, 8000, 0, 0, 4800, 0
562, 0, 12500, 8000, 8000, 0, 0, 4800, 0
563, -25000, 0, 4000, 8000, 4. 0, 4800, 0
564, -33000, 0, 15000, 8000, 0, 0, 4800, 0
565, -40000, 0, 4000, 8000, 4. 0, 4800, 0
566, -46000, 0, 15000, 8000, 0, 0, 4800, 0
567, -27000, 0, 4000, 8000, 4. 0, 4800, 0
568, -52000, 0, 15000, 8000, 0, 0, 4800, 0
569, -52000, 0, 4000, 8000, 4. 0, 4800, 0
570, -39000, 0, 15000, 8000, 0, 0, 4800, 0
571, -40000, 0, 4000, 8000, 4. 0, 4800, 0
572, 354000, 0, 15000, 8000, 0, 0, 4800, 0
573, 0, 12500, 8000, 8000, 0, 0, 4800, 0
574, -25000, 0, 4000, 8000, 4. 0, 4800, 0
575, -33000, 0, 15000, 8000, 0, 0, 4800, 0
576, -40000, 0, 4000, 8000, 4. 0, 4800, 0
577, -46000, 0, 15000, 8000, 0, 0, 4800, 0
578, -27000, 0, 4000, 8000, 4. 0, 4800, 0
579, -52000, 0, 15000, 8000, 0, 0, 4800, 0
580, -52000, 0, 4000, 8000, 4. 0, 4800, 0
581, -39000, 0, 15000, 8000, 0, 0, 4800, 0
582, -40000, 0, 4000, 8000, 4. 0, 4800, 0
583, 354000, 0, 15000, 8000, 0, 0, 4800, 0
584, 0, 12500, 8000, 8000, 0, 0, 4800, 0
585, -25000, 0, 4000, 8000, 4. 0, 4800, 0
586, -33000, 0, 15000, 8000, 0, 0, 4800, 0
587, -40000, 0, 4000, 8000, 4. 0, 4800, 0
588, -46000, 0, 15000, 8000, 0, 0, 4800, 0
589, -27000, 0, 4000, 8000, 4. 0, 4800, 0
590, -52000, 0, 15000, 8000, 0, 0, 4800, 0
591, -52000, 0, 4000, 8000, 4. 0, 4800, 0
592, -39000, 0, 15000, 8000, 0, 0, 4800, 0
593, -40000, 0, 4000, 8000, 4. 0, 4800, 0
594, 354000, 0, 15000, 8000, 0, 0, 4800, 0
595, 0, 12500, 8000, 8000, 0, 0, 4800, 0
596, -25000, 0, 4000, 8000, 4. 0, 4800, 0
597, -33000, 0, 15000, 8000, 0, 0, 4800, 0
598, -40000, 0, 4000, 8000, 4. 0, 4800, 0
599, -46000, 0, 15000, 8000, 0, 0, 4800, 0
600, -27000, 0, 4000, 8000, 4. 0, 4800, 0
601, -52000, 0, 15000, 8000, 0, 0, 4800, 0
602, -52000, 0, 4000, 8000, 4. 0, 4800, 0
603, -39000, 0, 15000, 8000, 0, 0, 4800, 0
604, -40000, 0, 4000, 8000, 4. 0, 4800, 0
605, 354000, 0, 15000, 8000, 0, 0, 4800, 0
606, 0, 12500, 8000, 8000, 0, 0, 4800, 0
607, -25000, 0, 4000, 8000, 4. 0, 4800, 0
608, -33000, 0, 15000, 8000, 0, 0, 4800, 0
609, -40000, 0, 4000, 8000, 4. 0, 4800, 0
610, -46000, 0, 15000, 8000, 0, 0, 4800, 0
611, -27000, 0, 4000, 8000, 4. 0, 4800, 0
612, -52000, 0, 15000, 8000, 0, 0, 4800, 0
613, -52000, 0, 4000, 8000, 4. 0, 4800, 0
614, -39000, 0, 15000, 8000, 0, 0, 4800, 0
615, -40000, 0, 4000, 8000, 4. 0, 4800, 0
616, 354000, 0, 15000, 8000, 0, 0, 4800, 0
617, 0, 12500, 8000, 8000, 0, 0, 4800, 0
618, -25000, 0, 4000, 8000, 4. 0, 4800, 0
619, -33000, 0, 15000, 8000, 0, 0, 4800, 0
620, -40000, 0, 4000, 8000, 4. 0, 4800, 0
621, -46000, 0, 15000, 8000, 0, 0, 4800, 0
622, -27000, 0, 4000, 8000, 4. 0, 4800, 0
623, -52000, 0, 15000, 8000, 0, 0, 4800, 0
624, -52000, 0, 4000, 8000, 4. 0, 4800, 0
625, -39000, 0, 15000, 8000, 0, 0, 4800, 0
626, -40000, 0, 4000, 8000, 4. 0, 4800, 0
627, 354000, 0, 15000, 8000, 0, 0, 4800, 0
628, 0, 12500, 8000, 8000, 0, 0, 4800, 0
629, -25000, 0, 4000, 8000, 4. 0, 4800, 0
630, -33000, 0, 15000, 8000, 0, 0, 4800, 0
631, -40000, 0, 4000, 8000, 4. 0, 4800, 0
632, -46000, 0, 15000, 8000, 0, 0, 4800, 0
633, -27000, 0, 4000, 8000, 4. 0, 4800, 0
634, -52000, 0, 15000, 8000, 0, 0, 4800, 0
635, -52000, 0, 4000, 8000, 4. 0, 4800, 0
636, -39000, 0, 15000, 8000, 0, 0, 4800, 0
637, -40000, 0, 4000, 8000, 4. 0, 4800, 0
638, 354000, 0, 15000, 8000, 0, 0, 4800, 0
639, 0, 12500, 8000, 8000, 0, 0, 4800, 0
640, -25000, 0, 4000, 8000, 4. 0, 4800, 0
641, -33000, 0, 15000, 8000, 0, 0, 4800, 0
642, -40000, 0, 4000, 8000, 4. 0, 4800, 0
643, -46000, 0, 15000, 8000, 0, 0, 4800, 0
644, -27000, 0, 4000, 8000, 4. 0, 4800, 0
645, -52000, 0, 15000, 8000, 0, 0, 4800, 0
646, -52000, 0, 4000, 8000, 4. 0, 4800, 0
647, -39000, 0, 15000, 8000, 0, 0, 4800, 0
648, -40000, 0, 4000, 8000, 4. 0, 4800, 0
649, 354000, 0, 15000, 8000, 0, 0, 4800, 0
650, 0, 12500, 8000, 8000, 0, 0, 4800, 0
651, -25000, 0, 4000, 8000, 4. 0, 4800, 0
652, -33000, 0, 15000, 8000, 0, 0, 4800, 0
653, -40000, 0, 4000, 8000, 4. 0, 4800, 0
654, -46000, 0, 15000, 8000, 0, 0, 4800, 0
655, -27000, 0, 4000, 8000, 4. 0, 4800, 0
656, -52000, 0, 15000, 8000, 0, 0, 4800, 0
657, -52000, 0, 4000, 8000, 4. 0, 4800, 0
658, -39000, 0, 15000, 8000, 0, 0, 4800, 0
659, -40000, 0, 4000, 8000, 4. 0, 4800, 0
660, 354000, 0, 15000, 8000, 0, 0, 4800, 0
661, 0, 12500, 8000, 8000, 0, 0, 4800, 0
662, -25000, 0, 4000, 8000, 4. 0, 4800, 0
663, -33000, 0, 15000, 8000, 0, 0, 4800, 0
664, -40000, 0, 4000, 8000, 4. 0, 4800, 0
665, -46000, 0, 15000, 8000, 0, 0, 4800, 0
666, -27000, 0, 4000, 8000, 4. 0, 4800, 0
667, -52000, 0, 15000, 8000, 0, 0, 4800, 0
668, -52000, 0, 4000, 8000, 4. 0, 4800, 0
669, -39000, 0, 15000, 8000, 0, 0, 4800, 0
670, -40000, 0, 4000, 8000, 4. 0, 4800, 0
671, 354000, 0, 15000, 8000, 0, 0, 4800, 0
672, 0, 12500, 8000, 8000, 0, 0, 4800, 0
673, -25000, 0, 4000, 8000, 4. 0, 4800, 0
674, -33000, 0, 15000, 8000, 0, 0, 4800, 0
675, -40000, 0, 4000, 8000, 4. 0, 4800, 0
676, -46000, 0, 15000, 8000, 0, 0, 4800, 0
677, -27000, 0, 4000, 8000, 4. 0, 4800, 0
678, -52000, 0, 15000, 8000, 0, 0, 4800, 0
679, -52000, 0, 4000, 8000, 4. 0, 4800, 0
680, -39000, 0, 15000, 8000, 0, 0, 4800, 0
681, -40000, 0, 4000, 8000, 4. 0, 4800, 0
682, 354000, 0, 15000, 8000, 0, 0, 4800, 0
683, 0, 12500, 8000, 8000, 0, 0, 4800, 0
684, -25000, 0, 4000, 8000, 4. 0, 4800, 0
685, -33000, 0, 15000, 8000, 0, 0, 4800, 0
686, -40000, 0, 4000, 8000, 4. 0, 4800, 0
687, -46000, 0, 15000, 8000, 0, 0, 4800, 0
688, -27000, 0, 4000, 8000, 4. 0, 4800, 0
689, -52000, 0, 15000, 8000, 0, 0, 4800, 0
690, -52000, 0, 4000, 8000, 4. 0, 4800, 0
691, -39000, 0, 15000, 8000, 0, 0, 4800, 0
692, -40000, 0, 4000, 8000, 4. 0, 4800, 0
693, 354000, 0, 15000, 8000, 0, 0, 4800, 0
694, 0, 12500, 8000, 8000, 0, 0, 4800, 0
695, -25000, 0, 4000, 8000, 4. 0, 4800, 0
696, -33000, 0, 15000, 8000, 0, 0, 4800, 0
697, -40000, 0, 4000, 8000, 4. 0, 4800, 0
698, -46000, 0, 15000, 8000, 0, 0, 4800, 0
699, -27000, 0, 4000, 8000, 4. 0, 4800, 0
700, -52000, 0, 15000, 8000, 0, 0, 4800, 0
701, -52000, 0, 4000, 8000, 4. 0, 4800, 0
702, -39000, 0, 15000, 8000, 0, 0, 4800, 0
703, -40000, 0, 4000, 8000, 4. 0, 4800, 0
704, 354000, 0, 15000, 8000, 0, 0, 4800, 0
705, 0, 12500, 8000, 8000, 0, 0, 4800, 0
706, -25000, 0, 4000, 8000, 4. 0, 4800, 0
707, -33000, 0, 15000, 8000, 0, 0, 4800, 0
708, -40000, 0, 4000, 8000, 4. 0, 4800, 0
709, -46000, 0, 15000, 8000, 0, 0, 4800, 0
710, -27000, 0, 4000, 8000, 4. 0, 4800, 0
711, -52000, 0, 15000, 8000, 0, 0, 4800, 0
712, -52000, 0, 4000, 8000, 4. 0, 4800, 0
713, -39000, 0, 15000, 8000, 0, 0, 4800, 0
714, -40000, 0, 4000, 8000, 4. 0, 4800, 0
715, 354000, 0, 15000, 8000, 0, 0, 4800, 0
716, 0, 12500, 8000, 8000, 0, 0, 4800, 0
717, -25000, 0, 4000, 8000, 4. 0, 4800, 0
718, -33000, 0, 15000, 8000, 0, 0, 4800, 0
719, -40000, 0, 4000, 8000, 4. 0, 4800, 0
720, -46000, 0, 15000, 8000, 0, 0, 4800, 0
721, -27000, 0, 4000, 8000, 4. 0, 4800, 0
722, -52000, 0, 15000, 8000, 0, 0, 4800, 0
723, -52000, 0, 4000, 8000, 4. 0, 4800, 0
724, -39000, 0, 15000, 8000, 0, 0, 4800, 0
725, -40000, 0, 4000, 8000, 4. 0, 4800, 0
726, 354000, 0, 15000, 8000, 0, 0, 4800, 0
727, 0, 12500, 8000, 8000, 0, 0, 4800, 0
728, -25000, 0, 4000, 8000, 4. 0, 4800, 0
729, -33000, 0, 15000, 8000, 0, 0, 4800, 0
730, -40000, 0, 4000, 8000, 4. 0, 4800, 0
731, -46000, 0, 15000, 8000, 0, 0, 4800, 0
732, -27000, 0, 4000, 8000, 4. 0, 4800, 0
733, -52000, 0, 15000, 8000, 0, 0, 4800, 0
734, -52000, 0, 4000, 8000, 4. 0, 4800, 0
735, -39000, 0, 15000, 8000, 0, 0, 4800, 0
736, -40000, 0, 4000, 8000, 4. 0, 4800, 0
737, 354000, 0, 15000, 8000, 0, 0, 4800, 0
738, 0, 12500, 8000, 8000, 0, 0, 4800, 0
739, -25000, 0, 4000, 8000, 4. 0, 4800, 0
740, -33000, 0, 15000, 8000, 0, 0, 4800, 0
741, -40000, 0, 4000, 8000, 4. 0, 4800, 0
742, -46000, 0, 15000, 8000, 0, 0, 4800, 0
743, -27000, 0, 4000, 8000, 4. 0, 4800, 0
744, -52000, 0, 15000, 8000, 0, 0, 4800, 0
745, -52000, 0, 4000, 8000, 4. 0, 4800, 0
746, -39000, 0, 15000, 8000, 0, 0, 4800, 0
747, -40000, 0, 4000, 8000, 4. 0, 4800, 0
748, 354000, 0, 15000, 8000, 0, 0, 4800, 0
749, 0, 12500, 8000, 8000, 0, 0, 4800, 0
750, -25000, 0, 4000, 8000, 4. 0, 4800, 0
751, -33000, 0, 15000, 8000, 0, 0, 4800, 0
752, -40000, 0, 4000, 8000, 4. 0, 4800, 0
753, -46000, 0, 15000, 8000, 0, 0, 4800, 0
754, -27000, 0, 4000, 8000, 4. 0, 4800, 0
755, -52000, 0, 15000, 8000, 0, 0, 4800, 0
756, -52000, 0, 4000, 8000, 4. 0, 4800, 0
757, -39000, 0, 15000, 8000, 0, 0, 4800, 0
758, -40000, 0, 4000, 8000, 4. 0, 4800, 0
759, 354000, 0, 15000, 8000, 0, 0, 4800, 0
760, 0, 25000, 8000, 8000, 0, 0, 4800, 0
761, -25000, 0, 4000, 8000, 4. 0, 4800, 0
762, -33000, 0, 15000, 8000, 0, 0, 4800, 0
763, -40000, 0, 4000, 8000, 4. 0, 4800, 0
764, -46000, 0, 15000, 8000, 0, 0, 4800, 0
765, -27000, 0, 4000, 8000, 4. 0, 4800, 0
766, -52000, 0, 15000, 8000, 0, 0, 4800, 0
767, -52000, 0, 4000, 8000, 4. 0, 4800, 0
768, -39000, 0, 15000, 8000, 0, 0, 4800, 0
769, -40000, 0, 4000, 8000, 4. 0, 4800, 0
770, 354000, 0, 15000, 8000, 0, 0, 4800, 0
771, 0, 12500, 8000, 8000, 0, 0, 4800, 0
772, -25000, 0, 4000, 8000, 4. 0, 4800, 0
773, -33000, 0, 15000, 8000, 0, 0, 4800, 0
774, -40000, 0, 4000, 8000, 4. 0, 4800, 0
775, -46000, 0, 15000, 8000, 0, 0, 4800, 0
776, -27000, 0, 4000, 8000, 4. 0, 4800, 0
777, -52000, 0, 15000, 8000, 0, 0, 4800, 0
778, -52000, 0, 4000, 8000, 4. 0, 4800, 0
779, -39000, 0, 15000, 8000, 0, 0, 4800, 0
780, -40000, 0, 4000, 8000, 4. 0, 4800, 0
781, 354000, 0, 15000, 8000, 0, 0, 4800, 0
782, 0, 12500, 8000, 8000, 0, 0, 4800, 0
783, -25000, 0, 4000, 8000, 4. 0, 4800, 0
784, -33000, 0, 15000, 8000, 0, 0, 4800, 0
785, -40000, 0, 4000, 8000, 4. 0, 4800, 0
786, -46000, 0, 15000, 8000, 0, 0, 4800, 0
787, -27000, 0, 4000, 8000, 4. 0, 4800, 0
788, -52000, 0, 15000, 8000, 0, 0, 4800, 0
789, -52000, 0, 4000, 8000, 4. 0, 4800, 0
790, -39000, 0, 15000, 8000, 0, 0, 4800, 0
791, -40000, 0, 4000, 8000, 4. 0, 4800, 0
792, 354000, 0, 15000, 8000, 0, 0, 4800, 0
793, 0, 12500, 8000, 8000, 0, 0, 4800, 0
794, -25000, 0, 4000, 8000, 4. 0, 4800, 0
795, -33000, 0, 15000, 8000, 0, 0, 4800, 0
796, -40000, 0, 4000, 8000, 4. 0, 4800, 0
797, -46000, 0, 15000, 8000, 0, 0, 4800, 0
798, -27000, 0, 4000, 8000, 4. 0, 4800, 0
799, -52000, 0, 15000, 8000, 0, 0, 4800, 0
800, -52000, 0, 4000, 8000, 4. 0, 4800, 0
801, -39000, 0, 15000, 8000, 0, 0, 4800, 0
802, -40000, 0, 4000, 8000, 4. 0, 4800, 0
803, 354000, 0, 15000, 8000, 0, 0, 4800, 0
804, 0, 12500, 8000, 8000, 0, 0, 4800, 0
805, -25000, 0, 4000, 8000, 4. 0, 4800, 0
806, -33000, 0, 15000, 8000, 0, 0, 4800, 0
807, -40000, 0, 4000, 8000, 4. 0, 4800, 0
808, -46000, 0, 15000, 8000, 0, 0, 4800, 0
809, -27000, 0, 4000, 8000, 4. 0, 4800, 0
810, -52000, 0, 15000, 8000, 0, 0, 4800, 0
811, -52000, 0, 4000, 8000, 4. 0, 4800, 0
812, -39000, 0, 15000, 8000, 0, 0, 4800, 0
813, -40000, 0, 4000, 8000, 4. 0, 4800, 0
814, 354000, 0, 15000, 8000, 0, 0, 4800, 0
815, 0, 12500, 8000, 8000, 0, 0, 4800, 0
816, -25000, 0, 4000, 8000, 4. 0, 4800, 0
817, -33000, 0, 15000, 8000, 0, 0, 4800, 0
818, -40000, 0, 4000, 8000, 4. 0, 4800, 0
819, -46000, 0, 15000, 8000, 0, 0, 4800, 0
820, -27000, 0, 4000, 8000, 4. 0, 4800, 0
821, -52000, 0, 15000, 8000, 0, 0, 4800, 0
822, -52000, 0, 4000, 8000, 4. 0, 4800, 0
823, -39000, 0, 15000, 8000, 0, 0, 4800, 0
824, -40000, 0, 4000, 8000, 4. 0, 4800, 0
825, 354000, 0, 15000, 8000, 0, 0, 4800, 0
826, 0, 12500, 8000, 8000, 0, 0, 4800, 0
827, -25000, 0, 4000, 8000, 4. 0, 4800, 0
828, -33000, 0, 15000, 8000, 0, 0, 4800, 0
829, -40000, 0, 4000, 8000, 4. 0, 4800, 0
830, -46000, 0, 15000, 8000, 0, 0, 4800, 0
831, -27000, 0, 4000, 8000, 4. 0, 4800, 0
832, -52000, 0, 15000, 8000, 0, 0, 4800, 0
833, -52000, 0, 4000, 8000, 4. 0, 4800, 0
834, -39000, 0, 15000, 8000, 0, 0, 4800, 0
835, -40000, 0, 4000, 8000, 4. 0, 4800, 0
836, 354000, 0, 15000, 8000, 0, 0, 4800, 0
837, 0, 12500, 8000, 8000, 0, 0, 4800, 0
838, -25000, 0, 4000, 8000, 4. 0, 4800, 0
839, -33000, 0, 15000, 8000, 0, 0, 4800, 0
840, -40000, 0, 4000, 8000, 4. 0, 4800, 0
841, -46000, 0, 15000, 8000, 0, 0, 4800, 0
842, -27000, 0, 4000, 8000, 4. 0, 4800, 0
843, -52000, 0, 15000, 8000, 0, 0, 4800, 0
844, -52000, 0, 4000, 8000, 4. 0, 4800, 0
845, -39000, 0, 15000, 8000, 0, 0, 4800, 0
846, -40000, 0, 4000, 8000, 4. 0, 4800, 0
847, 354000, 0, 15000, 8000, 0, 0, 4800, 0
848, 0, 12500, 8000, 8000, 0, 0, 4800, 0
849, -25000, 0, 4000, 8000, 4. 0, 4800, 0
850, -33000, 0, 15000, 8000, 0, 0, 4800, 0
851, -40000, 0, 4000, 8000, 4. 0, 4800, 0
852, -46000, 0, 15000, 8000, 0, 0, 4800, 0
853, -27000, 0, 4000, 8000, 4. 0, 4800, 0
854, -52000, 0, 15000, 8000, 0, 0, 4800, 0
855, -52000, 0, 4000, 8000, 4. 0, 4800, 0
856, -39000, 0, 15000, 8000, 0, 0, 4800, 0
857, -40000, 0, 4000, 8000, 4. 0, 4800, 0
858, 354000, 0, 15000, 8000, 0, 0, 4800, 0
859, 0, 12500, 8000, 8000, 0, 0, 4800, 0
860, -25000, 0, 4000, 8000, 4. 0, 4800, 0
861, -33000, 0, 15000, 8000, 0, 0, 4800, 0
862, -40000, 0, 4000, 8000, 4. 0, 4800, 0
863, -46000, 0, 15000, 8000, 0, 0, 4800, 0
864, -27000, 0, 4000, 8000, 4. 0, 4800, 0
865, -52000, 0, 15000, 8000, 0, 0, 4800, 0
866, -52000, 0, 4000, 8000, 4. 0, 4800, 0
867, -39000, 0, 15000, 8000, 0, 0, 4800, 0
868, -40000, 0, 4000, 8000, 4. 0, 4800, 0
869, 354000, 0, 15000, 8000, 0, 0, 4800, 0
870, 0, 12500, 8000, 8000, 0, 0, 4800, 0
871, -25000, 0, 4000, 8000, 4. 0, 4800, 0
872, -33000, 0, 15000, 8000, 0, 0, 4800, 0
873, -40000, 0, 4000, 8000, 4. 0, 4800, 0
874, -46000, 0, 15000, 8000, 0, 0, 4800, 0
875, -27000, 0, 4000, 8000, 4. 0, 4800, 0
876, -52000, 0, 15000, 8000, 0, 0, 4800, 0
877, -52000, 0, 4000, 8000, 4. 0, 4800, 0
878, -39000, 0, 15000, 8000, 0, 0, 4800, 0
879, -40000, 0, 4000, 8000, 4. 0, 4800, 0
880, 354000, 0, 15000, 8000, 0, 0, 4800, 0
881, 0, 12500, 8000, 8000, 0, 0, 4800, 0
882, -25000, 0, 4000, 8000, 4. 0, 4800, 0
883, -33000, 0, 15000, 8000, 0, 0, 4800, 0
884, -40000, 0, 4000, 8000, 4. 0, 4800, 0
885, -46000, 0, 15000, 8000, 0, 0, 4800, 0
886, -27000, 0, 4000, 8000, 4. 0, 4800, 0
887, -52000, 0, 15000, 8000, 0, 0, 4800, 0
888, -52000, 0, 4000, 8000, 4. 0, 4800, 0
889, -39000, 0, 15000, 8000, 0, 0, 4800, 0
890, -40000, 0, 4000, 8000, 4. 0, 4800, 0
891, 354000, 0, 15000, 8000, 0, 0, 4800, 0
892, 0, 12500, 8000, 8000, 0, 0, 4800, 0
893, -25000, 0, 4000, 8000, 4. 0, 4800, 0
894, -33000, 0, 15000, 8000, 0, 0, 4800, 0
895, -40000, 0, 4000, 8000, 4. 0, 4800, 0
896, -46000, 0, 15000, 8000, 0, 0, 4800, 0
897, -27000, 0, 4000, 8000, 4. 0, 4800, 0
898, -52000, 0, 15000, 8000, 0, 0, 4800, 0
899, -52000, 0, 4000, 8000, 4. 0, 4800, 0
900, -39000, 0, 15000, 8000, 0, 0, 4800, 0
901, -40000, 0, 4000, 8000, 4. 0, 4800, 0
902, 354000, 0, 15000, 8000, 0, 0, 4800, 0
903, 0, 12500, 8000, 8000, 0, 0, 4800, 0
904, -25000, 0, 4000, 8000, 4. 0, 4800, 0
905, -33000, 0, 15000, 8000, 0, 0, 4800, 0
906, -40000, 0, 4000, 8000, 4. 0, 4800, 0
907, -46000, 0, 15000, 8000, 0, 0, 4800, 0
908, -27000, 0, 4000, 8000, 4. 0, 4800, 0
909, -52000, 0, 15000, 8000, 0, 0, 4800, 0
910, -52000, 0, 4000, 8000, 4. 0, 4800, 0
911, -39000, 0, 15000, 8000, 0, 0, 4800, 0
912, -40000, 0, 4000, 8000, 4. 0, 4800, 0
913, 354000, 0, 15000, 8000, 0, 0, 4800, 0
914, 0, 12500, 8000, 8000, 0, 0, 4800, 0
915, -25000, 0, 4000, 8000, 4. 0, 4800, 0
916, -33000, 0, 15000, 8000, 0, 0, 4800, 0
917, -40000, 0, 4000, 8000, 4. 0, 4800, 0
918, -46000, 0, 15000, 8000, 0, 0, 4800, 0
919, -27000, 0, 4000, 8000, 4. 0, 4800, 0
