# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
99, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
100, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
101, -39000, 0, 15000, 8000, 0, 0, 3400, 0
102, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
103, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
104, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
105, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
106, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
107, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
108, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
109, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
110, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
111, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
112, 354000, 0, 15000, 8000, 0, 0, 3400, 0
113, 0, 25000, 8000, 8000, 0, 0, 3400, 0
114, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
115, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
116, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
117, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
118, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
119, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
120, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
121, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
122, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
123, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
124, -33000, 0, 15000, 8000, 0, 0, 3400, 0
125, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
126, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
127, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
128, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
129, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
130, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
131, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
132, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
133, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
134, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
135, -46000, 0, 15000, 8000, 0, 0, 3400, 0
136, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
137, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
138, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
139, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
140, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
141, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
142, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
143, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
144, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
145, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
146, -52000, 0, 15000, 8000, 0, 0, 3400, 0
147, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
148, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
149, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
150, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
151, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
152, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
153, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
154, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
155, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
156, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
157, -39000, 0, 15000, 8000, 0, 0, 3400, 0
158, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
159, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
160, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
161, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
162, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
163, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
164, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
165, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
166, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
167, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
168, 354000, 0, 15000, 8000, 0, 0, 3400, 0
169, 0, 25000, 8000, 8000, 0, 0, 4000, 0
170, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
171, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
172, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
173, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
174, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
175, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
176, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
177, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
