# generated for laser system 2
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
1, 1055000, 279000, 15000, 15000, 0, 0, 3800, 0
2, -54000, 0, 4000, 8000, 4, 0, 3800, 0
3, -38000, 0, 15000, 8000, 0, 0, 3800, 0
4, -44000, 0, 4000, 8000, 4, 0, 3800, 0
5, -44000, 0, 15000, 8000, 0, 0, 3800, 0
6, -43000, 0, 4000, 8000, 4, 0, 3800, 0
7, -47000, 0, 15000, 8000, 0, 0, 3800, 0
8, -36000, 0, 4000, 8000, 4, 0, 3800, 0
9, -44000, 0, 15000, 8000, 0, 0, 3800, 0
10, -33000, 0, 4000, 8000, 4, 0, 3800, 0
11, -44000, 0, 15000, 8000, 0, 0, 3800, 0
12, -30000, 0, 4000, 8000, 4, 0, 3800, 0
13, -42000, 0, 15000, 8000, 0, 0, 3800, 0
14, -27000, 0, 4000, 8000, 4, 0, 3800, 0
15, -40000, 0, 15000, 8000, 0, 0, 3800, 0
16, -19000, 0, 4000, 8000, 4, 0, 3800, 0
17, 585000, 0, 15000, 8000, 0, 0, 3800, 0
18, 0, 25000, 8000, 8000, 0, 0, 3800, 0
19, -54000, 0, 4000, 8000, 4, 0, 3600, 0
20, -38000, 0, 15000, 8000, 0, 0, 3600, 0
21, -44000, 0, 4000, 8000, 4, 0, 3600, 0
22, -44000, 0, 15000, 8000, 0, 0, 3600, 0
23, -43000, 0, 4000, 8000, 4, 0, 3600, 0
24, -47000, 0, 15000, 8000, 0, 0, 3600, 0
25, -36000, 0, 4000, 8000, 4, 0, 3600, 0
26, -44000, 0, 15000, 8000, 0, 0, 3600, 0
27, -33000, 0, 4000, 8000, 4, 0, 3600, 0
28, -44000, 0, 15000, 8000, 0, 0, 3600, 0
29, -30000, 0, 4000, 8000, 4, 0, 3600, 0
30, -42000, 0, 15000, 8000, 0, 0, 3600, 0
31, -27000, 0, 4000, 8000, 4, 0, 3600, 0
32, -40000, 0, 15000, 8000, 0, 0, 3600, 0
33, -19000, 0, 4000, 8000, 4, 0, 3600, 0
34, 585000, 0, 15000, 8000, 0, 0, 3600, 0
35, 0, 25000, 8000, 8000, 0, 0, 3600, 0
36, -54000, 0, 4000, 8000, 4, 0, 3600, 0
37, -38000, 0, 15000, 8000, 0, 0, 3600, 0
38, -44000, 0, 4000, 8000, 4, 0, 3600, 0
39, -44000, 0, 15000, 8000, 0, 0, 3600, 0
40, -43000, 0, 4000, 8000, 4, 0, 3600, 0
41, -47000, 0, 15000, 8000, 0, 0, 3600, 0
42, -36000, 0, 4000, 8000, 4, 0, 3600, 0
